Date,Region,State,Condition,Temperature_C,Precipitation_mm
2025-01-01,Northern,Delhi,Clear,17.0,1.5
2025-01-01,Northern,Punjab,Clear,18.4,0.2
2025-01-01,Northern,Haryana,Clear,17.1,0.7
2025-01-01,Northern,Himachal Pradesh,Clear,10.5,2.0
2025-01-01,Northern,Uttarakhand,Clear,19.9,1.3
2025-01-01,Northern,Jammu & Kashmir,Cold,18.5,4.8
2025-01-01,Western,Maharashtra,Clear,12.5,3.7
2025-01-01,Western,Gujarat,Clear,17.9,0.5
2025-01-01,Western,Rajasthan,Cold,18.3,0.1
2025-01-01,Western,Goa,Cold,18.2,0.7
2025-01-01,Eastern,West Bengal,Clear,19.4,3.4
2025-01-01,Eastern,Odisha,Cold,12.6,2.9
2025-01-01,Eastern,Bihar,Cold,10.6,0.1
2025-01-01,Eastern,Jharkhand,Clear,11.3,2.2
2025-01-01,Southern,Karnataka,Clear,19.4,0.6
2025-01-01,Southern,Tamil Nadu,Cold,15.7,0.8
2025-01-01,Southern,Kerala,Clear,10.3,2.0
2025-01-01,Southern,Andhra Pradesh,Clear,13.5,2.1
2025-01-01,Southern,Telangana,Cold,14.5,1.4
2025-01-01,North-Eastern,Assam,Cold,16.2,0.2
2025-01-01,North-Eastern,Meghalaya,Cold,15.0,3.2
2025-01-01,North-Eastern,Manipur,Clear,10.9,2.4
2025-01-01,North-Eastern,Nagaland,Clear,12.0,0.7
2025-01-01,North-Eastern,Tripura,Clear,19.9,1.2
2025-01-02,Northern,Delhi,Clear,19.9,4.0
2025-01-02,Northern,Punjab,Clear,15.4,1.8
2025-01-02,Northern,Haryana,Clear,15.7,1.7
2025-01-02,Northern,Himachal Pradesh,Clear,11.8,1.9
2025-01-02,Northern,Uttarakhand,Clear,10.3,3.0
2025-01-02,Northern,Jammu & Kashmir,Clear,19.9,0.3
2025-01-02,Western,Maharashtra,Clear,15.8,1.8
2025-01-02,Western,Gujarat,Cold,11.0,4.9
2025-01-02,Western,Rajasthan,Clear,15.3,1.2
2025-01-02,Western,Goa,Clear,20.0,0.3
2025-01-02,Eastern,West Bengal,Cold,19.8,2.9
2025-01-02,Eastern,Odisha,Clear,18.4,1.8
2025-01-02,Eastern,Bihar,Cold,15.9,0.9
2025-01-02,Eastern,Jharkhand,Clear,19.1,3.5
2025-01-02,Southern,Karnataka,Cold,13.5,3.5
2025-01-02,Southern,Tamil Nadu,Clear,15.6,2.8
2025-01-02,Southern,Kerala,Cold,18.1,4.2
2025-01-02,Southern,Andhra Pradesh,Clear,11.8,2.7
2025-01-02,Southern,Telangana,Cold,12.3,0.5
2025-01-02,North-Eastern,Assam,Cold,14.8,0.1
2025-01-02,North-Eastern,Meghalaya,Clear,12.0,4.6
2025-01-02,North-Eastern,Manipur,Cold,11.8,1.7
2025-01-02,North-Eastern,Nagaland,Clear,11.5,0.3
2025-01-02,North-Eastern,Tripura,Clear,17.7,4.6
2025-01-03,Northern,Delhi,Clear,19.6,4.3
2025-01-03,Northern,Punjab,Clear,16.6,3.5
2025-01-03,Northern,Haryana,Clear,13.0,0.5
2025-01-03,Northern,Himachal Pradesh,Cold,17.3,4.9
2025-01-03,Northern,Uttarakhand,Clear,19.6,4.0
2025-01-03,Northern,Jammu & Kashmir,Clear,17.1,1.6
2025-01-03,Western,Maharashtra,Clear,19.3,3.5
2025-01-03,Western,Gujarat,Clear,15.9,1.1
2025-01-03,Western,Rajasthan,Cold,17.3,1.9
2025-01-03,Western,Goa,Clear,17.3,0.6
2025-01-03,Eastern,West Bengal,Clear,13.9,4.7
2025-01-03,Eastern,Odisha,Clear,16.0,0.2
2025-01-03,Eastern,Bihar,Clear,15.7,1.1
2025-01-03,Eastern,Jharkhand,Clear,17.5,0.7
2025-01-03,Southern,Karnataka,Cold,13.2,1.7
2025-01-03,Southern,Tamil Nadu,Clear,10.9,4.4
2025-01-03,Southern,Kerala,Clear,17.3,3.4
2025-01-03,Southern,Andhra Pradesh,Clear,12.7,2.2
2025-01-03,Southern,Telangana,Cold,13.5,3.5
2025-01-03,North-Eastern,Assam,Cold,10.5,3.6
2025-01-03,North-Eastern,Meghalaya,Clear,19.7,3.7
2025-01-03,North-Eastern,Manipur,Clear,13.8,2.5
2025-01-03,North-Eastern,Nagaland,Clear,18.3,1.9
2025-01-03,North-Eastern,Tripura,Clear,16.9,3.3
2025-01-04,Northern,Delhi,Cold,18.0,2.3
2025-01-04,Northern,Punjab,Cold,13.2,1.5
2025-01-04,Northern,Haryana,Cold,11.7,0.4
2025-01-04,Northern,Himachal Pradesh,Clear,10.8,0.8
2025-01-04,Northern,Uttarakhand,Cold,19.9,1.7
2025-01-04,Northern,Jammu & Kashmir,Clear,14.3,3.5
2025-01-04,Western,Maharashtra,Clear,18.9,0.8
2025-01-04,Western,Gujarat,Cold,13.3,0.3
2025-01-04,Western,Rajasthan,Cold,15.5,2.0
2025-01-04,Western,Goa,Clear,16.6,2.7
2025-01-04,Eastern,West Bengal,Clear,10.5,1.2
2025-01-04,Eastern,Odisha,Clear,14.9,2.7
2025-01-04,Eastern,Bihar,Cold,14.3,1.8
2025-01-04,Eastern,Jharkhand,Clear,16.3,4.1
2025-01-04,Southern,Karnataka,Clear,10.3,1.0
2025-01-04,Southern,Tamil Nadu,Cold,19.8,3.2
2025-01-04,Southern,Kerala,Clear,13.1,4.2
2025-01-04,Southern,Andhra Pradesh,Clear,18.9,2.4
2025-01-04,Southern,Telangana,Clear,15.4,0.5
2025-01-04,North-Eastern,Assam,Cold,13.8,1.9
2025-01-04,North-Eastern,Meghalaya,Cold,12.6,2.2
