item_code,project_title,serial_number,description,unit,quantity,rate_per_unit,total_cost,material_category,shelf_life,reorder_frequency,procurement_lead_time,has_components,component_count
0501,Cost data for 22 Kv Switching Station (Outdoor),1,"22 KV feeder bay as per sheet ""A""",Nos.,12.0,756615.6,9079387.2,other,Variable,As needed,1-2 weeks,Yes,8
0501,Cost data for 22 Kv Switching Station (Outdoor),1-SUB,22 KV Lightning Arrestors (Screw type),Set,1.0,8568.0,8568.0,fasteners,Long (>5 years),Quarterly,1 week,No,0
0501,Cost data for 22 Kv Switching Station (Outdoor),1-SUB,22 KV Isolators with EB (800 A),Set,1.0,41547.0,41547.0,other,Variable,As needed,1-2 weeks,No,0
0501,Cost data for 22 Kv Switching Station (Outdoor),1-SUB,22 KV Isolators without EB (800 Amp.),Set,1.0,35680.0,35680.0,other,Variable,As needed,1-2 weeks,No,0
0501,Cost data for 22 Kv Switching Station (Outdoor),1-SUB,22 KV VCB complete 1600 Amp (O.D.),Set,1.0,179600.0,179600.0,other,Variable,As needed,1-2 weeks,No,0
0501,Cost data for 22 Kv Switching Station (Outdoor),1-SUB,"CT 200-100/1-1 A, 22 KV",Nos.,3.0,23767.0,71301.0,other,Variable,As needed,1-2 weeks,No,0
0501,Cost data for 22 Kv Switching Station (Outdoor),1-SUB,Control C&R Panel 22 KV for feeder with accessories.,Nos.,1.0,75834.0,75834.0,electrical,Long (>5 years),As needed,2-4 weeks,No,0
0501,Cost data for 22 Kv Switching Station (Outdoor),1-SUB,"Structure and foundation cables, clamps, painting etc.as per sheet (A+B+C+D+F)",L.S.,1.0,330027.6,330027.6,electrical,Long (>5 years),As needed,2-4 weeks,No,0
0501,Cost data for 22 Kv Switching Station (Outdoor),1-SUB,Earthing as per Sheet (E),L.S.,1.0,14058.0,14058.0,other,Variable,As needed,1-2 weeks,No,0
0501,Cost data for 22 Kv Switching Station (Outdoor),2,22 KV Isolators without EB (800 Amp.),Set,3.0,35680.0,107040.0,other,Variable,As needed,1-2 weeks,No,0
0501,Cost data for 22 Kv Switching Station (Outdoor),3,22 KV P.T.,No.,3.0,17855.0,53565.0,other,Variable,As needed,1-2 weeks,No,0
0501,Cost data for 22 Kv Switching Station (Outdoor),4,"100 KVA, 22/0.4 KV with Dist. Box as per Sht.No.6.",Set,1.0,276835.4,276835.4,other,Variable,As needed,1-2 weeks,Yes,14
0501,Cost data for 22 Kv Switching Station (Outdoor),4-SUB,"Dist.transformer 100kva,22/0.4kv",No.,1.0,202380.0,202380.0,electrical,Long (>5 years),As needed,2-4 weeks,No,0
0501,Cost data for 22 Kv Switching Station (Outdoor),4-SUB,L.T.Dist.Boxes 100 KVA with MCCB,No,1.0,12822.0,12822.0,other,Variable,As needed,1-2 weeks,No,0
0501,Cost data for 22 Kv Switching Station (Outdoor),4-SUB,"22KV A.B.Switch, 400 A",Nos.,1.0,14447.0,14447.0,other,Variable,As needed,1-2 weeks,No,0
0501,Cost data for 22 Kv Switching Station (Outdoor),4-SUB,L.A.s 22KV (Gapless type) with disconnector,Set,1.0,2280.0,2280.0,other,Variable,As needed,1-2 weeks,No,0
0501,Cost data for 22 Kv Switching Station (Outdoor),4-SUB,22 kV Pin Insulators with G.I. Pins,No.s,3.0,336.0,1008.0,insulation,Long (>5 years),As needed,1-2 weeks,No,0
0501,Cost data for 22 Kv Switching Station (Outdoor),4-SUB,L.T.XLPE Armoured 3.5 Core cable120 sq.mm.,Rmt.,10.0,329.0,3290.0,electrical,Long (>5 years),As needed,2-4 weeks,No,0
0501,Cost data for 22 Kv Switching Station (Outdoor),4-SUB,L.T.XLPE Armoured 3.5 Core cable70 sq.mm.,Rmt.,50.0,204.0,10200.0,electrical,Long (>5 years),As needed,2-4 weeks,No,0
0501,Cost data for 22 Kv Switching Station (Outdoor),4-SUB,Earthing Sets H.T,Nos.,3.0,342.0,1026.0,other,Variable,As needed,1-2 weeks,No,0
0501,Cost data for 22 Kv Switching Station (Outdoor),4-SUB,G.I.Strp (25 X 3 mm),Kg.,40.0,66.78,2671.2,other,Variable,As needed,1-2 weeks,No,0
0501,Cost data for 22 Kv Switching Station (Outdoor),4-SUB,Coal,Kg.,200.0,15.0,3000.0,other,Variable,As needed,1-2 weeks,No,0
0501,Cost data for 22 Kv Switching Station (Outdoor),4-SUB,Salt,Kg.,200.0,7.0,1400.0,other,Variable,As needed,1-2 weeks,No,0
0501,Cost data for 22 Kv Switching Station (Outdoor),4-SUB,Plinth for station Transformer,Cmt.,5.6,3027.0,16951.2,electrical,Long (>5 years),As needed,2-4 weeks,No,0
0501,Cost data for 22 Kv Switching Station (Outdoor),4-SUB,Half round cement pipe ( 150mm X 1mtr),Nos.,30.0,110.0,3300.0,cement,Medium (3-6 months),Monthly,1 week,No,0
0501,Cost data for 22 Kv Switching Station (Outdoor),4-SUB,G.I.Nut Boltss Washer & Misc Material,L.S,1.0,2060.0,2060.0,fasteners,Long (>5 years),Quarterly,1 week,No,0
0501,Cost data for 22 Kv Switching Station (Outdoor),5,"Battery set 30 Volt, 100 AH with Battery charger",Set,1.0,72000.0,72000.0,other,Variable,As needed,1-2 weeks,No,0
0501,Cost data for 22 Kv Switching Station (Outdoor),6,"Bus Gantry and Fabrication material, Clamps,Connectors, Control Cables, and Earthing (As per Sht. No.1,2,3,5,7 &8.",L.S.,1.0,407270.3,407270.3,electrical,Long (>5 years),As needed,2-4 weeks,Yes,23
0501,Cost data for 22 Kv Switching Station (Outdoor),6-SUB,Column type HG(4 Nos.)-496.0 kg.,MT,2.976,48500.0,144336.0,other,Variable,As needed,1-2 weeks,No,0
